rank,harness,provider,model,score_total,score_max,valid_cases,total_cases,avg_valid_score,results_file
1,LegalGenius,OpenRouter,anthropic/claude-opus-4.7,92,100,10,10,9.2,results/openrouter_opus47.csv
2,LegalGenius,OpenRouter,z-ai/glm-5.1,91,100,10,10,9.1,results/openrouter_glm51.csv
3,LegalGenius,OpenRouter,openai/gpt-5.4,87,100,10,10,8.7,results/openrouter_gpt54.csv
4,LegalGenius,OpenRouter,z-ai/glm-5,86,100,10,10,8.6,results/openrouter_glm5.csv
5,LegalGenius,OpenRouter,qwen/qwen3.6-plus,85,100,10,10,8.5,results/openrouter_qwen36_plus.csv
6,LegalGenius,OpenRouter,qwen/qwen3.5-397b-a17b,80,100,10,10,8.0,results/openrouter_qwen35_397b_a17b.csv
7,LegalGenius,Nebius,zai-org/GLM-5.1,75,100,8,10,9.38,results/nebius_glm51.csv
8,LegalGenius,OpenRouter,qwen/qwen3.5-122b-a10b,51,100,9,10,5.67,results/openrouter_qwen35_122b_a10b.csv
9,LegalGenius,OpenRouter,mistralai/mistral-small-3.2-24b-instruct,29,100,10,10,2.9,results/openrouter_mistral_small_32_24b.csv
10,LegalGenius,Nebius,PrimeIntellect/INTELLECT-3,25,100,8,10,3.12,results/nebius_intellect3.csv
11,LegalGenius,OpenRouter,mistralai/mistral-large-2512,22,100,7,10,3.14,results/openrouter_mistral_large_2512.csv
12,LegalGenius,Nebius,NousResearch/Hermes-4-405B,21,100,10,10,2.1,results/nebius_hermes4_405b.csv
13,LegalGenius,Nebius,zai-org/GLM-5,16,100,8,10,2.0,results/nebius_glm5.csv
14,LegalGenius,Nebius,NousResearch/Hermes-4-70B,16,100,10,10,1.6,results/nebius_hermes4_70b.csv
